Street Address,Zipcode,City,State,Price,Yearly Rent,Payback Ratio (in years),Bedrooms,Bathrooms,Living Area,Home Type,Home Status,Days On Zillow,Monthly Rent Per SqFt,Yearly Rent Per SqFt
4 Jamestown Pl,37042,Clarksville,TN,0,0,0,0,0,1347,SINGLE_FAMILY,FOR_SALE,-1,0.0,0.0
780 Lillian Grace Dr LOT 65,37043,Clarksville,TN,0,0,0,3,2,1959,SINGLE_FAMILY,FOR_SALE,-1,0.0,0.0
78 Cardinal Dr,37043,Clarksville,TN,0,0,0,3,3,1454,SINGLE_FAMILY,FOR_SALE,-1,0.0,0.0
193 Woodland Dr LOT 5,37043,Clarksville,TN,277000,0,0,3,3,1301,SINGLE_FAMILY,FOR_SALE,-1,0.0,0.0
3114 Sulphur Springs Rd,37043,Clarksville,TN,0,0,0,0,0,0,LOT,FOR_SALE,-1,0.0,0.0
474 Mattingly Dr LOT 87,37042,Clarksville,TN,0,23964,0.0,4,3,1560,SINGLE_FAMILY,FOR_SALE,-1,1.28,15.36
116 Eagles Perch Ln LOT 380,37040,Clarksville,TN,353800,0,0,4,3,2099,SINGLE_FAMILY,FOR_SALE,-1,0.0,0.0
5100 S Highway 41 #A,37010,Adams,TN,0,0,0,4,3,2900,SINGLE_FAMILY,FOR_SALE,-1,0.0,0.0
2240 Highway 48 LOT 8,37040,Clarksville,TN,0,24264,0.0,3,2,1777,SINGLE_FAMILY,FOR_SALE,-1,1.14,13.65
67 Copperstone Dr LOT 67,37043,Clarksville,TN,0,24768,0.0,5,4,3444,SINGLE_FAMILY,FOR_SALE,-1,0.6,7.19
83 Whitman Xing LOT 81,37043,Clarksville,TN,0,0,0,2,2,1512,CONDO,FOR_SALE,-1,0.0,0.0
117 Cardinal Dr LOT 117,37043,Clarksville,TN,0,0,0,3,2,1430,SINGLE_FAMILY,FOR_SALE,-1,0.0,0.0
8 Proctor Dr #1,37043,Clarksville,TN,0,0,0,2,1,1304,SINGLE_FAMILY,FOR_SALE,-1,0.0,0.0
56 Iris Ln LOT 56,37042,Clarksville,TN,0,0,0,3,2,1830,SINGLE_FAMILY,FOR_SALE,-1,0.0,0.0
2629 Rafiki Dr LOT 94,37042,Clarksville,TN,0,0,0,4,3,1650,SINGLE_FAMILY,FOR_SALE,-1,0.0,0.0
971 Smoots Dr LOT 330,37042,Clarksville,TN,0,0,0,4,3,2354,SINGLE_FAMILY,FOR_SALE,-1,0.0,0.0
415 Mattingly Dr LOT 69,37042,Clarksville,TN,257400,0,0,3,2,1208,SINGLE_FAMILY,FOR_SALE,-1,0.0,0.0
